Species_within_site_nos,Species_short_name,Species_latin_name,Species_common_name,Site,Coarse_functional_type,Life form,Veg repro method,Clonality,Life strategy,Dominant reproductive strategy,Dispersal unit,Shoot_age_or_life_span,Leaf_longevity_type,Photosynthetic_pathway,Flowering_time_earliest_month_nos,Flowering_time_earliest_month_name,Flowering_time_latest_month_nos,Flowering_time_latest_month_name,Flowering_time_peak_month_nos,Flowering_time_peak_month_name,Notes,Notes_1,,,,,,,,,,,,,,,
1,EP,Equisetum palustre,Marsh horsetail,Ainsdale,Herb,None-bulbous Geophyte,Rhizome (hypogeogenous),Rhizome (far reaching),Perennial,Spores and Vegetative,Spore,1-2 years old,Evergreen,C3,5,May,7,July,6,June,Geophyte = plants that survive unfavourable conditions using underground storage organs,,,,,,,,,,,,,,,,
2,HV,Hydrocotyle vulgaris,Marsh pennywort,Ainsdale,Herb,Hemicryptophyte,Stolons,Extensively creeping and rooting at nodes,Perennial,Vegetative ,Fruit,monocyclic (annual) shoots prevailing,,C3,6,June,8,August,7,July,Hemicryptophyte = plants that have buds near or at the soil surface; capable of flowering rarely does ,,,,,,,,,,,,,,,,
3,MA,Mentha aquatica,Water mint,Ainsdale,Herb,None-bulbous Geophyte,Rhizome,Rhizome (far reaching),Perennial,Seed and Vegetative,Fruit,<1 year,Evergreen,C3,7,July,10,October,NA,NA,Geophyte = plants that survive unfavourable conditions using underground storage organs,,,,,,,,,,,,,,,,
4,PD,Pulicaria dysenterica,Common fleabane,Ainsdale,Herb,Hemicryptophyte,Stolons,Creeping and rooting at nodes,Perennial,Seed and Vegetative,Fruit,monocyclic (annual) shoots prevailing,Aestival,C3,8,August,9,September,NA,NA,Hemicryptophyte = plants that have buds near or at the soil surface,,,,,,,,,,,,,,,,
5,SR,Salix repens,Creeping willow,Ainsdale,Woody,Nanophanerophyte,Rooting stems,Rhizome (far reaching),Perennial,Seed and Vegetative,Wind,>1 year,Aestival,C3,4,April,5,May,NA,NA,Nanophanerophyte = tsems are in the air with buds more than 50cm above the soil ,,,,,,,,,,,,,,,,
1,AO,Anthoxanthum odoratum,Sweet vernal grass,Hazelrigg,Grass,Hemicryptophyte,Rhizome (epigeogenous),Tussock forming graminoid,Perennial,Seed and Vegetative,Fruit,monocyclic (annual) shoots prevailing,Evergreen,C3,4,April,6,June,5,May,Hemicryptophyte = plants that have buds near or at the soil surface,,,,,,,,,,,,,,,,
2,CA,Cirsium arvense,Creeping thistle,Hazelrigg,Herb,None-bulbous Geophyte,Root with adventitious buds,Root buds / diffuse ramets,Perennial,Seed and Vegetative (clones by suckering form roots),Fruit,monocyclic (annual) shoots prevailing,Aestival,C3,7,July,9,September,NA,NA,Geophyte = plants that survive unfavourable conditions using underground storage organs,,,,,,,,,,,,,,,,
3,RA,Rumex acetosa,Common sorrel,Hazelrigg,Herb,Hemicryptophyte,Rhizome (epigeogenous),Branching root stock,Perennial,Seed (Little or no vegetation spread),Fruit,<1 year; dicyclic or polycyclic shoots prevailing,Evergreen,C3,5,May,5,June,NA,NA,Hemicryptophyte = plants that have buds near or at the soil surface,"Dicyclic shoots are often characterized by a two-part growth pattern: an initial spring growth flush followed by a summer growth flush, separated by a resting period. Polycyclic shoots develop over multiple years",,,,,,,,,,,,,,,
4,RR,Ranunculus repens,Creeping buttercup,Hazelrigg,Herb,Hemicryptophyte,Rhizomes and stolons,Far creeping stolons,Perennial,Seed and Vegetative,Fruit,dicyclic or polycyclic shootsprevailing,Evergreen,C3,5,May,10,October,6,June,Hemicryptophyte = plants that have buds near or at the soil surface,,,,,,,,,,,,,,,,
1,AE,Agrimonia eupatoria,Common agrimony,Wytham,Herb,Hemicryptophyte,Rhizomes,Rhizome (shortly creeping),Perennial,Seed (Little or no vegetation spread),Fruit,monocyclic (annual) shoots prevailing,Aestival,C3,6,June,8,August,NA,NA,,,,,,,,,,,,,,,,,
2,BP,Brachypodium pinnatum,Tor grass,Wytham,Grass,Hemicryptophyte,Rhizomes,Rhizome (shortly creeping),Perennial,Vegetative ,Fruit,2-6 months; monocyclic (annual) ,Evergreen,C3,NA,NA,NA,NA,7,July,,Floweing time is not found in eco-flora for this species,,,,,,,,,,,,,,,
3,BS,Brachypodium sylvaticum,False brome,Wytham,Grass,Hemicryptophyte,Rhizome (epigeogenous),Tusscok forming graminoid,Perennial,Seed,Fruit,monocyclic (annual) shoots prevailing,Evergreen,C3,7,July,7,July,NA,NA,,,,,,,,,,,,,,,,,
4,CV,Clinopodium vulgare,Wild basil,Wytham,Herb,Hemicryptophyte,Rhizome,Rhizome (shortly creeping),Perennial,Seed and Vegetative,Fruit,<1 year; monocyclic (annual),Semi-evergreen,C3,7,July,9,September,8,August,,,,,,,,,,,,,,,,,
5,HN,Hyacinthoides non-scripta,Bluebell,Wytham,Herb,Bulbous Geophyte,Bulbs,Tuberous or bulbous slowlycloning by offsets,Perennial,Seed and Vegetative,Fruit,2-6 months; monocyclic (annual) shoots prevailing,Vernal,C3,4,April,6,June,5,May,,,,,,,,,,,,,,,,,
6,LC,Lotus corniculatus,Bird's-foot Trefoil,Wytham,Herb,Hemicryptophyte,Rhizome,Rhizome (shortly creeping),Perennial,Seed and Vegetative,Fruit,< 1 year,Aestival,C3,5,May,10,October,6,June,,,,,,,,,,,,,,,,,
7,PV,Primula veris,Cowslip,Wytham,Herb,Hemicryptophyte,Rhizome (epigeogenous),Rhizome (shortly creeping),Perennial,Seed (Little or no vegetation spread),Fruit,dicyclic or polycyclic shoots prevailing,Evergreen,C3,4,April,6,June,5,May,,,,,,,,,,,,,,,,,
8,TA,Taraxacum officinale,Dandelion,Wytham,Herb,Hemicryptophyte,None,None,Perennial,Seed,Fruit,< 1 year,Aestival,C3,1,January,12,December,4,April,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
