Species,Trait_name,grp,vcov,prop,status
MA,LMA,Time_point,0.07628379722175266,0.06888805582420653,singular->zeroed
MA,LMA,Treatment,0,0,singular->zeroed
MA,LMA,Residual,1.0310750374711455,0.9311119441757935,singular->zeroed
MA,LDMC,Time_point,8.121307932807752e-5,0.041260874431148606,ok
MA,LDMC,Treatment,0.0010030467816705385,0.5096049509449813,ok
MA,LDMC,Residual,8.840231782665007e-4,0.4491341746238701,ok
MA,LWC,Time_point,8.121307932951176e-5,0.04126087443248553,ok
MA,LWC,Treatment,0.0010030467816399425,0.5096049509369491,ok
MA,LWC,Residual,8.840231782666468e-4,0.44913417463056526,ok
MA,EWT,Time_point,2.7776899573572548e-6,0.11746188590516041,ok
MA,EWT,Treatment,3.3172561773576323e-6,0.14027885494956105,ok
MA,EWT,Residual,1.7552639087950296e-5,0.7422592591452786,ok
EP,LMA,Time_point,0.7142682688269429,0.027576815673383243,ok
EP,LMA,Treatment,5.4224915422683795,0.20935418284393217,ok
EP,LMA,Residual,19.764282473360485,0.7630690014826846,ok
EP,LDMC,Time_point,3.457452565944706e-4,0.4328923860842786,ok
EP,LDMC,Treatment,7.227861197275629e-5,0.09049686207682471,ok
EP,LDMC,Residual,3.80662520264658e-4,0.4766107518388966,ok
EP,LWC,Time_point,3.457452567619547e-4,0.43289238626192666,ok
EP,LWC,Treatment,7.227861186157368e-5,0.0904968619309175,ok
EP,LWC,Residual,3.806625202674914e-4,0.4766107518071559,ok
EP,EWT,Time_point,0,0,singular->zeroed
EP,EWT,Treatment,9.053268266465945e-5,0.3654913845502563,singular->zeroed
EP,EWT,Residual,1.5716859427805573e-4,0.6345086154497437,singular->zeroed
SR,LMA,NA,NA,NA,fit-error
SR,LDMC,NA,NA,NA,fit-error
SR,LWC,NA,NA,NA,fit-error
SR,EWT,NA,NA,NA,fit-error
HV,LMA,Time_point,0.2619169331247667,0.5120169806905149,ok
HV,LMA,Treatment,0.03723115258226254,0.07278255019776478,ok
HV,LMA,Residual,0.2123914588829588,0.41520046911172026,ok
HV,LDMC,Time_point,2.0377515729003316e-4,0.21414559599640542,ok
HV,LDMC,Treatment,5.92211037611956e-5,0.06223495900658782,ok
HV,LDMC,Residual,6.885766925828664e-4,0.7236194449970068,ok
HV,LWC,Time_point,2.0377515727613348e-4,0.21414559598385452,ok
HV,LWC,Treatment,5.922110376489523e-5,0.06223495901107329,ok
HV,LWC,Residual,6.885766925839298e-4,0.7236194450050722,ok
HV,EWT,Time_point,2.697947391203107e-6,0.1980802735445443,singular->zeroed
HV,EWT,Treatment,0,0,singular->zeroed
HV,EWT,Residual,1.0922527494683966e-5,0.8019197264554557,singular->zeroed
PD,LMA,Time_point,0.0349809374118046,0.07218863300501213,ok
PD,LMA,Treatment,0.12140771671484925,0.2505438034072569,ok
PD,LMA,Residual,0.3281881546539729,0.6772675635877311,ok
PD,LDMC,Time_point,5.592553030931519e-4,0.3784723311155568,ok
PD,LDMC,Treatment,3.8002733228230455e-4,0.25718098610958223,ok
PD,LDMC,Residual,5.383823274627323e-4,0.36434668277486104,ok
PD,LWC,Time_point,5.59255302949852e-4,0.3784723308862352,ok
PD,LWC,Treatment,3.800273329562186e-4,0.257180986475718,ok
PD,LWC,Residual,5.383823274488285e-4,0.3643466826380468,ok
PD,EWT,Time_point,1.737982705063677e-5,0.6024025728945979,ok
PD,EWT,Treatment,1.4115179611588451e-6,0.04892465552226952,ok
PD,EWT,Residual,1.0059506283751078e-5,0.3486727715831326,ok
RA,LMA,Treatment,0,0,singular->zeroed
RA,LMA,Time_point,0.9415554707372189,0.5894999997347802,singular->zeroed
RA,LMA,Residual,0.6556548280937069,0.4105000002652198,singular->zeroed
RA,LDMC,Treatment,4.0219330908793154e-5,0.03759984561453216,ok
RA,LDMC,Time_point,6.768979853514472e-4,0.6328116149848196,ok
RA,LDMC,Residual,0.00035255013187546614,0.3295885394006482,ok
RA,LWC,Treatment,4.021933094694297e-5,0.03759984565541677,ok
RA,LWC,Time_point,6.768979851704822e-4,0.6328116149034857,ok
RA,LWC,Residual,3.525501318697937e-4,0.3295885394410976,ok
RA,EWT,Treatment,2.2494532875327048e-7,0.016180318670288563,ok
RA,EWT,Time_point,1.7493863399847294e-6,0.12583336855796415,ok
RA,EWT,Residual,1.1928072439428972e-5,0.8579863127717473,ok
CA,LMA,Treatment,0.47536722597393904,0.06033448244506925,ok
CA,LMA,Time_point,1.7583054849176878,0.22316736538890283,ok
CA,LMA,Residual,5.645192022998003,0.716498152166028,ok
CA,LDMC,Treatment,3.452068867741694e-5,0.032702501208810075,ok
CA,LDMC,Time_point,5.644449744538181e-4,0.5347159389510755,ok
CA,LDMC,Residual,4.5663214747650665e-4,0.4325815598401145,ok
CA,LWC,Treatment,3.452068864999297e-5,0.03270250119307911,ok
CA,LWC,Time_point,5.644449741384964e-4,0.5347159388199356,ok
CA,LWC,Residual,4.5663214748843954e-4,0.43258155998698516,ok
CA,EWT,Treatment,9.922979455932644e-6,0.060719157636538776,ok
CA,EWT,Time_point,3.2987550719308096e-5,0.2018523066649572,ok
CA,EWT,Residual,1.2051366479352022e-4,0.737428535698504,ok
AO,LMA,Treatment,0.020996966658882298,0.00953789428481774,ok
AO,LMA,Time_point,1.391833180232563,0.6322416923753176,ok
AO,LMA,Residual,0.7885956638669016,0.3582204133398646,ok
AO,LDMC,Treatment,6.409714838363914e-4,0.1257137968589409,ok
AO,LDMC,Time_point,0.0016897335039165223,0.33140758959462424,ok
AO,LDMC,Residual,0.0027679516422397616,0.5428786135464349,ok
AO,LWC,Treatment,6.409714841789728e-4,0.12571379688326548,ok
AO,LWC,Time_point,0.0016897335053973463,0.3314075897720548,ok
AO,LWC,Residual,0.002767951642154899,0.5428786133446798,ok
AO,EWT,Treatment,3.76022716775155e-7,0.06941664969986236,ok
AO,EWT,Time_point,5.381265153461578e-7,0.09934224221971262,ok
AO,EWT,Residual,4.502745970988735e-6,0.831241108080425,ok
RR,LMA,Treatment,0,0,singular->zeroed
RR,LMA,Time_point,0.16179523312051083,0.14327731499147303,singular->zeroed
RR,LMA,Residual,0.9674500568972417,0.856722685008527,singular->zeroed
RR,LDMC,Treatment,8.411752908927823e-4,0.23955332628996243,ok
RR,LDMC,Time_point,0.0016614094922454993,0.4731429637866719,ok
RR,LDMC,Residual,0.0010088475309953941,0.2873037099233656,ok
RR,LWC,Treatment,8.411752908865873e-4,0.23955332624569192,ok
RR,LWC,Time_point,0.001661409492885069,0.4731429638848568,ok
RR,LWC,Residual,0.0010088475309850866,0.28730370986945114,ok
RR,EWT,Treatment,2.0227348070206416e-6,0.09479244520879568,ok
RR,EWT,Time_point,1.0765299178069672e-5,0.5044996649840361,ok
RR,EWT,Residual,8.550531578496966e-6,0.4007078898071682,ok
PV,LMA,Time_point,6.818123425612684,0.7110586485923714,ok
PV,LMA,Treatment,0.23489296522155306,0.024496868711244194,ok
PV,LMA,Residual,2.535677086293146,0.26444448269638443,ok
PV,LDMC,Time_point,0.008656542907675258,0.8408287326367044,ok
PV,LDMC,Treatment,5.480933877848646e-5,0.00532374960227014,ok
PV,LDMC,Residual,0.001583898821536907,0.15384751776102534,ok
PV,LWC,Time_point,0.008656542926106568,0.8408287329391009,ok
PV,LWC,Treatment,5.4809338559054845e-5,0.005323749571535707,ok
PV,LWC,Residual,0.0015838988215428438,0.15384751748936332,ok
PV,EWT,Time_point,3.144140780197564e-5,0.5468683254706499,ok
PV,EWT,Treatment,3.179435969433262e-6,0.05530073066371621,ok
PV,EWT,Residual,2.2872717909853775e-5,0.397830943865634,ok
BP,LMA,Time_point,3.477926049022763,0.6445419653770845,singular->zeroed
BP,LMA,Treatment,0,0,singular->zeroed
BP,LMA,Residual,1.9180392035857745,0.35545803462291553,singular->zeroed
BP,LDMC,Time_point,0.003108470653249624,0.635869023642806,ok
BP,LDMC,Treatment,6.878007529561621e-5,0.014069658106175477,ok
BP,LDMC,Residual,0.0017112884794847796,0.3500613182510187,ok
BP,LWC,Time_point,0.003108470653028461,0.6358690236187144,ok
BP,LWC,Treatment,6.878007537587963e-5,0.01406965812306214,ok
BP,LWC,Residual,0.0017112884794630802,0.3500613182582233,ok
BP,EWT,Time_point,8.570567319588826e-7,0.1625663581840133,singular->zeroed
BP,EWT,Treatment,0,0,singular->zeroed
BP,EWT,Residual,4.414985660654457e-6,0.8374336418159867,singular->zeroed
AE,LMA,Time_point,3.867763733158995,0.44636602623611266,ok
AE,LMA,Treatment,0.28530889534569215,0.032926571179480155,ok
AE,LMA,Residual,4.511932111603104,0.5207074025844072,ok
AE,LDMC,Time_point,0.002787913337779438,0.584506687461462,ok
AE,LDMC,Treatment,6.466982194464719e-5,0.013558507322073289,ok
AE,LDMC,Residual,0.0019171027952603948,0.40193480521646485,ok
AE,LWC,Time_point,0.002787913336635283,0.5845066873525623,ok
AE,LWC,Treatment,6.466982203482954e-5,0.013558507344018984,ok
AE,LWC,Residual,0.0019171027952455386,0.40193480530341885,ok
AE,EWT,Time_point,8.513480683970292e-6,0.4134394587784493,ok
AE,EWT,Treatment,3.561654224073861e-7,0.017296431969707083,ok
AE,EWT,Residual,1.1722197519589406e-5,0.5692641092518437,ok
TA,LMA,Time_point,1.1573438735835881,0.7079481552265122,ok
TA,LMA,Treatment,0.0812106808173779,0.049676637153079815,ok
TA,LMA,Residual,0.39623164433316194,0.24237520762040807,ok
TA,LDMC,Time_point,0.00249238009360238,0.7096409744167541,ok
TA,LDMC,Treatment,9.272766751470369e-5,0.026401812668716097,ok
TA,LDMC,Residual,9.270627355919584e-4,0.2639572129145298,ok
TA,LWC,Time_point,0.0024923800958537206,0.7096409746229847,ok
TA,LWC,Treatment,9.272766741708313e-5,0.026401812624745377,ok
TA,LWC,Residual,9.270627355900637e-4,0.2639572127522698,ok
TA,EWT,Time_point,2.127651904463458e-6,0.3206406271306635,ok
TA,EWT,Treatment,7.684114404196488e-8,0.01158008627415323,ok
TA,EWT,Residual,4.4311348926675574e-6,0.6677792865951833,ok
HN,LMA,Treatment,0.2016791270797923,0.06594661608015291,ok
HN,LMA,Time_point,2.175027887480259,0.71120760554729,ok
HN,LMA,Residual,0.6815109663999904,0.22284577837255706,ok
HN,LDMC,Treatment,6.0817253621767363e-5,0.16307194658955573,ok
HN,LDMC,Time_point,1.6106784789387952e-4,0.43187822410390064,ok
HN,LDMC,Residual,1.5106226860952534e-4,0.40504982930654354,ok
HN,LWC,Treatment,6.081725361834238e-5,0.163071946570319,ok
HN,LWC,Time_point,1.6106784792032568e-4,0.43187822414818716,ok
HN,LWC,Residual,1.510622686094959e-4,0.40504982928149386,ok
HN,EWT,Treatment,6.058652688027475e-8,6.966956541017016e-4,ok
HN,EWT,Time_point,4.967390086037206e-5,0.5712093535265386,ok
HN,EWT,Residual,3.722820072997611e-5,0.42809395081935964,ok
BS,LMA,Time_point,3.92694668199427,0.7432020356891554,singular->zeroed
BS,LMA,Treatment,0,0,singular->zeroed
BS,LMA,Residual,1.3568745313759225,0.2567979643108447,singular->zeroed
BS,LDMC,Time_point,0.007087896333481859,0.6271120728472536,ok
BS,LDMC,Treatment,2.8308494545470843e-5,0.0025046357703816195,ok
BS,LDMC,Residual,0.004186234784243166,0.37038329138236487,ok
BS,LWC,Time_point,0.0070878963341277626,0.6271120728722431,ok
BS,LWC,Treatment,2.830849441829876e-5,0.0025046357590014466,ok
BS,LWC,Residual,0.004186234784304012,0.3703832913687554,ok
BS,EWT,Time_point,4.445346675759754e-7,0.14581470599273832,ok
BS,EWT,Treatment,1.983950197554365e-7,0.06507684008945883,ok
BS,EWT,Residual,2.4056974353547838e-06,0.7891084539178029,ok
CV,LMA,Time_point,18.43868010535881,0.8858226287149388,ok
CV,LMA,Treatment,0.28450758890988154,0.013668183343787998,ok
CV,LMA,Residual,2.092130753971637,0.10050918794127313,ok
CV,LDMC,Time_point,0.0883550391319185,0.9010949552052868,ok
CV,LDMC,Treatment,2.7591506527027835e-5,2.813938806693014e-4,ok
CV,LDMC,Residual,0.009670342160397324,0.09862365091404396,ok
CV,LWC,Time_point,0.08835503911562398,0.901094955188565,ok
CV,LWC,Treatment,2.7591506471828185e-5,2.8139388015301694e-4,ok
CV,LWC,Residual,0.00967034216048361,0.09862365093128202,ok
CV,EWT,Time_point,4.51691597017545e-5,0.7835568980199122,ok
CV,EWT,Treatment,7.650278297355044e-7,0.013271064529968958,ok
CV,EWT,Residual,1.1712117179628287e-5,0.20317203745011886,ok
LC,LMA,Time_point,1.258134595277625,0.39945555270110034,ok
LC,LMA,Treatment,0.15020006122646065,0.047688259029007536,ok
LC,LMA,Residual,1.7412888417053547,0.5528561882698921,ok
LC,LDMC,Time_point,0.001996050061232825,0.6027567086446847,singular->zeroed
LC,LDMC,Treatment,0,0,singular->zeroed
LC,LDMC,Residual,0.001315485144606691,0.3972432913553154,singular->zeroed
LC,LWC,Time_point,0.0019960528571912285,0.6027570514592174,singular->zeroed
LC,LWC,Treatment,0,0,singular->zeroed
LC,LWC,Residual,0.001315485103847924,0.39724294854078257,singular->zeroed
LC,EWT,Time_point,2.0791830223287953e-5,0.5898882415446837,ok
LC,EWT,Treatment,4.826185578391464e-7,0.01369244599264264,ok
LC,EWT,Residual,1.3972617966367962e-5,0.39641931246267376,ok
